grid,driverId,constructorId,raceId
1,1,1,18
11,4,4,18
9,1,1,19
7,4,4,19
10,4,4,20
3,1,1,20
5,1,1,21
2,4,4,21
3,1,1,22
7,4,4,22
3,1,1,23
7,4,4,23
4,4,4,24
1,1,1,24
3,4,4,25
13,1,1,25
4,1,1,26
6,4,4,26
1,1,1,27
5,4,4,27
7,4,4,28
1,1,1,28
2,1,1,29
12,4,4,29
1,1,1,30
6,4,4,30
8,4,4,31
15,1,1,31
15,4,4,32
2,1,1,32
4,4,4,33
1,1,1,33
1,1,1,34
4,4,4,34
6,4,4,35
4,1,1,35
2,4,1,36
4,1,1,36
2,4,1,37
4,1,1,37
2,1,1,38
4,4,1,38
4,1,1,39
2,4,1,39
1,4,1,40
2,1,1,40
1,1,1,41
2,4,1,41
1,1,1,42
2,4,1,42
2,1,1,43
10,4,1,43
3,4,1,44
1,1,1,44
2,4,1,45
10,1,1,45
1,1,1,46
6,4,1,46
4,4,1,47
2,1,1,47
1,4,1,48
2,1,1,48
3,4,1,49
4,1,1,49
1,1,1,50
2,4,1,50
4,4,1,51
1,1,1,51
4,4,1,52
2,1,1,52
4,4,4,53
7,4,4,54
3,4,4,55
5,4,4,56
1,4,4,57
1,4,4,58
1,4,4,59
1,4,4,60
1,4,4,61
5,4,4,62
3,4,4,63
7,4,4,64
15,4,4,65
3,4,4,66
10,4,4,67
1,4,4,68
5,4,4,69
4,4,4,70
13,4,4,71
1,4,4,72
1,4,4,73
2,4,4,74
3,4,4,75
2,4,4,76
6,4,4,77
3,4,4,78
6,4,4,79
1,4,4,80
1,4,4,81
3,4,4,82
6,4,4,83
3,4,4,84
2,4,4,85
4,4,4,86
1,4,4,87
16,4,4,88
1,4,4,89
5,4,4,90
19,4,4,91
16,4,4,92
6,4,4,93
8,4,4,94
3,4,4,95
6,4,4,96
5,4,4,97
9,4,4,98
1,4,4,99
16,4,4,100
5,4,4,101
5,4,4,102
3,4,4,103
4,4,4,104
6,4,4,105
11,4,4,106
8,4,4,107
10,4,4,108
1,4,4,109
10,4,4,110
8,4,4,111
3,4,4,112
19,4,4,113
8,4,4,114
4,4,4,115
8,4,4,116
7,4,4,117
8,4,4,118
8,4,4,119
1,4,4,120
20,4,4,121
6,4,4,122
5,4,4,123
19,4,18,141
21,4,18,142
19,4,18,143
18,4,18,144
18,4,18,145
18,4,18,146
18,4,18,147
22,4,18,148
21,4,18,149
21,4,18,150
21,4,18,151
21,4,18,152
18,4,18,153
20,4,18,154
21,4,18,155
17,4,18,156
18,4,18,157
10,4,4,1
18,1,1,1
12,1,1,2
9,4,4,2
9,1,1,3
2,4,4,3
5,1,1,4
7,4,4,4
8,4,4,5
14,1,1,5
9,4,4,6
19,1,1,6
8,4,4,7
16,1,1,7
10,4,4,8
18,1,1,8
12,4,4,9
5,1,1,9
4,1,1,10
1,4,4,10
1,1,1,11
8,4,4,11
13,4,4,12
12,1,1,12
8,4,4,13
1,1,1,13
1,1,1,14
5,4,4,14
3,1,1,15
16,4,4,15
17,1,1,16
10,4,4,16
15,4,4,17
1,1,1,17
3,4,6,337
4,1,1,337
13,807,3,337
3,4,6,338
11,1,1,338
15,807,3,338
20,1,1,339
5,807,3,339
19,4,6,339
6,1,1,340
3,4,6,340
16,807,3,340
4,4,6,341
3,1,1,341
13,807,3,341
5,1,1,342
24,4,6,342
11,807,3,342
2,1,1,343
12,4,6,343
17,807,3,343
1,1,1,344
3,4,6,344
12,807,3,344
3,1,1,345
4,4,6,345
8,807,3,345
4,1,1,346
13,807,3,346
3,4,6,346
2,4,6,347
6,1,1,347
10,807,3,347
3,4,6,348
10,807,3,348
5,1,1,348
2,1,1,349
9,807,3,349
10,4,6,349
1,4,6,350
8,807,3,350
5,1,1,350
1,4,6,351
17,807,3,351
3,1,1,351
4,4,6,352
8,1,1,352
9,807,3,352
3,4,6,353
4,1,1,353
11,807,3,353
5,4,6,354
4,1,1,354
1,807,3,354
2,1,1,355
3,4,6,355
15,807,3,355
2,1,1,841
5,4,6,841
13,815,15,841
5,4,6,842
2,1,1,842
16,815,15,842
3,1,1,843
5,4,6,843
12,815,15,843
5,4,6,844
4,1,1,844
15,815,15,844
3,1,1,845
4,4,6,845
12,815,15,845
4,4,6,846
9,1,1,846
2,4,6,847
5,1,1,847
4,4,6,848
3,1,1,848
16,815,15,848
3,4,6,849
10,1,1,849
12,815,15,849
24,817,164,849
2,1,1,850
4,4,6,850
15,815,15,850
22,817,164,850
5,4,6,851
2,1,1,851
10,815,15,851
22,817,164,851
8,4,6,852
9,815,15,852
23,817,164,852
2,1,1,852
4,4,6,853
2,1,1,853
23,817,164,853
15,815,15,853
5,4,6,854
4,1,1,854
11,815,15,854
23,817,164,854
5,4,6,855
3,1,1,855
17,815,15,855
22,817,164,855
1,1,1,856
6,4,6,856
17,815,15,856
24,817,164,856
3,4,6,857
5,1,1,857
20,815,15,857
23,817,164,857
2,1,1,858
5,4,6,858
11,815,15,858
20,817,164,858
5,4,6,859
17,815,15,859
22,817,164,859
4,1,1,859
1,1,1,860
12,4,6,860
22,815,15,860
10,817,5,860
9,807,10,860
8,4,6,861
9,815,15,861
1,1,1,861
16,807,10,861
15,817,5,861
7,1,1,862
9,4,6,862
8,815,15,862
16,807,10,862
17,817,5,862
9,4,6,863
2,1,1,863
8,815,15,863
13,807,10,863
6,817,5,863
2,4,6,864
24,1,1,864
13,807,10,864
15,817,5,864
5,815,15,864
5,4,6,865
3,1,1,865
10,807,10,865
23,815,15,865
15,817,5,865
2,1,1,866
15,815,15,866
3,4,6,866
13,807,10,866
14,817,5,866
11,4,6,867
8,807,10,867
15,815,15,867
17,817,5,867
2,1,1,867
1,4,6,868
8,1,1,868
14,807,10,868
12,817,5,868
15,815,15,868
1,4,6,869
17,815,15,869
4,807,10,869
11,817,5,869
7,1,1,869
1,1,1,870
6,4,6,870
10,807,10,870
14,815,15,870
18,817,5,870
11,807,10,871
16,817,5,871
4,815,15,871
5,4,6,871
7,1,1,871
1,1,1,872
12,815,15,872
10,4,6,872
14,817,5,872
24,807,10,872
5,4,6,873
15,817,5,873
14,815,15,873
11,807,10,873
1,1,1,873
9,1,1,874
15,807,10,874
14,817,5,874
5,815,15,874
6,4,6,874
4,4,6,875
8,807,10,875
21,817,5,875
3,1,1,875
12,815,15,875
5,4,6,876
3,1,1,876
12,807,10,876
15,817,5,876
8,815,15,876
6,4,6,877
16,817,5,877
11,815,15,877
1,1,1,877
10,807,10,877
2,1,1,878
7,4,6,878
6,807,10,878
15,815,15,878
18,817,5,878
7,4,6,879
6,807,10,879
15,817,5,879
1,1,1,879
12,815,15,879
5,4,6,880
3,1,131,880
15,815,1,880
16,822,3,880
14,817,5,880
